,0
turgid,n
unfunny,n
superlative,p
radiant,p
quotable,p
talkie,p
unpretentious,p
flawless,p
atrocious,n
influential,p
lighten,p
robust,p
exuberant,p
lousy,n
pointless,n
horrid,n
laughable,n
sadness,p
worst,n
longs,p
speakeasy,p
adjust,p
abysmal,n
unlikeable,n
perceptive,p
uncompromising,p
fairytale,p
awful,n
astonishing,p
puerile,n
poorly,n
sceptical,p
lame,n
infectious,p
insipid,n
bearable,n
nonexistent,n
uninspired,n
audible,n
mower,p
undying,p
humane,p
polar,p
unoriginal,n
tedious,n
breathtaking,p
unintentional,n
amateurish,n
relaxed,p
insult,n
